aeroporto,slug,titulo,cliques_16m,cluster,decisao,url_dona,responsavel,status,observacao
VCP,estacionamento-aeroporto-viracopos-vcp-guia-completo-com-precos-opcoes-e-a-melhor-escolha-economica,"Estacionamento Aeroporto Viracopos (VCP): Guia Completo com Preços, Opções e a Melhor Escolha Econômica",451,"preço, valor, diária",manter,,Léo,definido em 28/08/2026 (revisão do Diego pendente),Dona de PREÇO. O Search Console já a elegeu: é quem recebe 'estacionamento viracopos preço' (pos. 6 a 9). Complemento: /precos/aeroporto-de-viracopos.
VCP,onde-deixar-o-carro-estacionado-em-viracopos,Onde Deixar o Carro Estacionado em Viracopos?,107,"proximidade, perto, onde deixar",manter,,Léo,definido em 28/08/2026 (revisão do Diego pendente),"Dona de PROXIMIDADE (107 cliques). Também recebe as consultas de bolsão F, o embrião do cluster de setor."
VCP,quais-os-melhores-estacionamentos-do-aeroporto-viracopos-em-2024,Quais os Melhores Estacionamentos do Aeroporto Viracopos em 2024?,70,"melhor, comparativo",manter,,Léo,definido em 28/08/2026 (revisão do Diego pendente),Dona do melhor desde 15/08; alvo de 5 redirects.
VCP,onde-estacionar-proximo-ao-aeroporto-de-viracopos,Onde estacionar próximo ao aeroporto de Viracopos?,68,"proximidade, perto, onde deixar",absorver,/blog/onde-deixar-o-carro-estacionado-em-viracopos/,Léo,definido em 28/08/2026 (revisão do Diego pendente),68 cliques somam na dona de proximidade.
VCP,qual-o-melhor-estacionamento-no-aeroporto-de-viracopos-guia-completo-para-economizar-e-viajar-com-tranquilidade,Qual o Melhor Estacionamento no Aeroporto de Viracopos? Guia Completo para Economizar e Viajar com Tranquilidade,43,"melhor, comparativo",absorver,/blog/quais-os-melhores-estacionamentos-do-aeroporto-viracopos-em-2024/,Léo,definido em 28/08/2026 (revisão do Diego pendente),301 no ar desde 15/08.
VCP,como-pagar-mais-barato-no-estacionamento-do-aeroporto-viracopos-em-2024,Como pagar mais barato no estacionamento do Aeroporto Viracopos em 2024?,39,"barato, economia, desconto",manter,,Léo,definido em 28/08/2026 (revisão do Diego pendente),"Dona de BARATO (vencedora de 15/08, reclassificada de preço para barato). Recebe as consultas de cupom e desconto. Complemento: /estacionamento-mais-barato/aeroporto-de-viracopos."
VCP,qual-e-o-melhor-estacionamento-do-aeroporto-de-viracopos,Qual é o melhor estacionamento do Aeroporto Viracopos?,37,"melhor, comparativo",absorver,/blog/quais-os-melhores-estacionamentos-do-aeroporto-viracopos-em-2024/,Léo,definido em 28/08/2026 (revisão do Diego pendente),301 no ar desde 15/08.
VCP,estacionamento-vcp-onde-deixar-o-carro-em-viracopos-sem-dor-de-cabeca,Estacionamento VCP: Onde Deixar o Carro em Viracopos sem Dor de Cabeça,32,"proximidade, perto, onde deixar",absorver,/blog/onde-deixar-o-carro-estacionado-em-viracopos/,Léo,definido em 28/08/2026 (revisão do Diego pendente),
VCP,quanto-custa-deixar-o-carro-no-aeroporto-viracopos-por-7-dias,Quanto custa deixar o carro no Aeroporto Viracopos por 7 dias?,22,"preço, valor, diária",absorver,/blog/estacionamento-aeroporto-viracopos-vcp-guia-completo-com-precos-opcoes-e-a-melhor-escolha-economica/,Léo,definido em 28/08/2026 (revisão do Diego pendente),REAPONTAR: desde 15/08 o 301 vai para a dona de barato; a intenção é preço. Corrigir na execução (Conteúdo 19).
VCP,por-que-o-virapark-se-destaca-como-melhor-estacionamento-do-aeroporto-campinas,"Por que o Virapark  se destaca como ""melhor Estacionamento do Aeroporto Campinas""?",19,"melhor, comparativo",absorver,/blog/quais-os-melhores-estacionamentos-do-aeroporto-viracopos-em-2024/,Léo,definido em 28/08/2026 (revisão do Diego pendente),Advertorial de parceiro disputando 'melhor'; o fato da unidade vive na página do Virapark.
